team,region,conference,agg_rating_1,agg_rating_2,colley_rating,offensive_rating,defensive_rating
austin_peay_governors,South,Ohio Valley,0.7412947532,0.4153391377,0.2506660192,0.6695095301,0.7298
ball_state_cardinals,South,Mid-American,0.5949843133,0.2670486235,0.4023582791,0.484782068,0.6514
cleveland_state_vikings,South,Horizon,0.6269216835,0.4997422297,0.3453350177,0.6079149053,0.565
coker_cobras,South,South Atlantic Conference,0.0001,0.3085647937,0.4566511689,0.0001,0.0001
dayton_flyers,South,Atlantic 10,0.6247474947,0.5962388539,0.7397513719,0.6459703757,0.5123
depaul_blue_demons,South,Big East,0.8732207991,0.4962572816,0.4277884836,0.8142520498,0.8274
drake_bulldogs,South,Missouri Valley,0.6684327935,0.3669910934,0.4539061885,0.5880572021,0.6775
eastern_illinois_panthers,South,Ohio Valley,0.7315281126,0.2402501098,0.1412138793,0.5888923879,0.8105
green_bay_phoenix,South,Horizon,0.4544238797,0.376459075,0.5165912703,0.4114333038,0.4461
illinois_state_redbirds,South,Missouri Valley,0.8783897492,0.2692885824,0.5135708851,0.7247886285,0.9513
indiana_hoosiers,South,Big 10,0.8454621067,0.592201736,0.7520564412,0.830496197,0.7492
iowa_hawkeyes,South,Big 10,0.9418450539,0.676750701,0.9126865023,0.9467554888,0.8059
iowa_state_cyclones,South,Big 12,0.6845833397,0.5716071181,0.8195413352,0.6862656228,0.5884
iu_indianapolis_jaguars,South,Horizon,0.5959081707,0.699870102,0.6167091971,0.6644804572,0.4281
kansas_city_roos,South,Summit League,0.7655373769,0.407066753,0.3392651798,0.6865409642,0.7598
kansas_jayhawks,South,Big 12,0.7496567289,0.4486132618,0.6002966489,0.6903184886,0.721
kent_state_golden_flashes,South,Mid-American,0.5990353636,0.407546805,0.2734900176,0.5462784358,0.583
kentucky_wildcats,South,Southeastern,0.8065309499,0.5132686882,0.7725352354,0.7650246909,0.7485
louisville_cardinals,South,Atlantic Coast,0.7432695622,0.8154524849,0.7547078247,0.8365736681,0.5242
loyola_chicago_ramblers,South,Missouri Valley,0.5037165914,0.2874863056,0.312898742,0.4162371826,0.5443
marquette_golden_eagles,South,Big East,0.871113479,0.4582306065,0.4674935819,0.7967549123,0.8447
marshall_thundering_herd,South,Sun Belt,0.5416955849,0.264095407,0.2583182354,0.4386069418,0.5968
michigan_state_spartans,South,Big 10,0.8079957775,0.3049281644,0.5496916786,0.6801369588,0.8573
michigan_wolverines,South,Big 10,0.8858535634,0.6584974122,0.7702348067,0.8919755957,0.7569
missouri_state_lady_bears,South,Missouri Valley,0.5979162524,0.5789017927,0.5956477047,0.6161687946,0.4929
missouri_tigers,South,Southeastern,0.7483336894,0.3285963599,0.445175463,0.6395899861,0.7819
murray_state_racers,South,Ohio Valley,0.9678071957,0.6833722829,0.1731256885,0.9713943503,0.8302
northern_iowa_panthers,South,Missouri Valley,0.5692371829,0.4855053572,0.542787451,0.55336709,0.5108
northern_kentucky_norse,South,Horizon,0.5673460447,0.3911109541,0.1553441037,0.5127511258,0.5574
northwestern_wildcats,South,Big 10,0.6455994785,0.2863959915,0.5747588812,0.5354787655,0.6956
notre_dame_fighting_irish,South,Atlantic Coast,0.7484155991,0.5422257397,0.6448194994,0.7279688428,0.6714
ohio_bobcats,South,Mid-American,0.6417155854,0.2322439939,0.2361328518,0.5098170535,0.7187
ohio_state_buckeyes,South,Big 10,0.7517024486,0.6188534085,0.7872615723,0.762417845,0.637
purdue_boilermakers,South,Big 10,0.6505666983,0.2229280835,0.3561337247,0.5134328499,0.7331
southern_illinois_salukis,South,Missouri Valley,0.7503220861,0.4799774029,0.6197860224,0.7038450398,0.7052
toledo_rockets,South,Mid-American,0.7032657176,0.6134222612,0.581401574,0.7193115369,0.5864
unc_pembroke_braves,South,Peach Belt,0.3358971453,0.8543893445,0.4566511689,0.509010262,0.0725
virginia_tech_hokies,South,Atlantic Coast,0.6098105725,0.6117350973,0.5730347459,0.6397754107,0.4881
western_kentucky_lady_toppers,South,Conference USA,0.6099337367,0.1683709154,0.2329409147,0.4566021633,0.7184
western_michigan_broncos,South,Mid-American,0.5151069878,0.1926028497,0.2580334007,0.3866233465,0.6054
youngstown_state_penguins,South,Horizon,0.4087423113,0.4233338672,0.4501416882,0.392273391,0.373
abilene_christian_wildcats,West,Western Athletic,0.6780758858,0.3959500475,0.2121486378,0.6081631118,0.6728
air_force_falcons,West,Mountain West,0.5701820948,0.3081503759,0.2807412204,0.4808495096,0.6042
arizona_wildcats,West,Pac-12,0.6837532091,0.5723486412,0.5637287374,0.6858718546,0.5871
baylor_bears,West,Big 12,0.8069068727,0.797034664,0.9041601517,0.8826445267,0.6014
byu_cougars,West,West Coast,0.7358044113,0.92581279,0.71648108,0.875896632,0.4587
california_baptist_lancers,West,Western Athletic,0.5464651706,0.3682208423,0.3855496922,0.4856737599,0.5476
colorado_buffaloes,West,Pac-12,0.59244726,0.4752705209,0.6358849063,0.5687162337,0.5409
colorado_state_rams,West,Mountain West,0.6611239212,0.3909316867,0.3221199578,0.5917879657,0.6573
creighton_bluejays,West,Big East,0.6405302616,0.5354984573,0.4527579438,0.6341759416,0.5602
gonzaga_bulldogs,West,West Coast,0.7228561239,0.6716842287,0.6985198146,0.7599222241,0.577
grand_canyon_lopes,West,Western Athletic,0.5614289817,0.2845015099,0.4788992957,0.463689461,0.6068
hawaii_rainbow_wahine,West,Big West,0.6326730398,0.2163343048,0.5624845105,0.4956120481,0.7181
idaho_state_bengals,West,Big Sky,0.6349561233,0.2532763959,0.3814612703,0.5128091159,0.7016
kansas_state_wildcats,West,Big 12,0.6289780681,0.3628121271,0.6080019902,0.5530457317,0.6388
long_beach_state_beach,West,Big West,0.5264595931,0.3465062133,0.3126400651,0.4598207126,0.5378
montana_lady_griz,West,Big Sky,0.7246844947,0.434443466,0.2464688736,0.6633944439,0.7022
montana_state_bobcats,West,Big Sky,0.7094848694,0.2470320466,0.3950968665,0.5731002306,0.7837
nebraska_cornhuskers,West,Big 10,0.7210454576,0.6717441085,0.7472823474,0.7584195005,0.5751
nevada_wolf_pack,West,Mountain West,0.6987143252,0.3451998364,0.3080923701,0.6045946455,0.7208
new_mexico_lobos,West,Mountain West,0.6679185452,0.4162267479,0.3398060715,0.6079763358,0.6512
north_texas_mean_green,West,Conference USA,0.7192121898,0.3746657113,0.2446575192,0.6340671827,0.7272
northern_arizona_lumberjacks,West,Big Sky,0.919715206,0.260225481,0.1624130192,0.7559042624,1
oklahoma_sooners,West,Big 12,0.6887025291,0.370584183,0.7652018686,0.606642041,0.6978
oregon_ducks,West,Pac-12,0.7547931804,0.5057116436,0.6387165537,0.7182548291,0.6977
portland_pilots,West,West Coast,0.6629939991,0.4709806022,0.392983737,0.6264560495,0.618
san_diego_toreros,West,West Coast,0.6855622659,0.1856464221,0.3233672923,0.5275436531,0.7894
san_francisco_dons,West,West Coast,0.6192223898,0.1557828244,0.3568937195,0.4592344195,0.735
santa_clara_broncos,West,West Coast,0.7582899634,0.2468042318,0.3222383292,0.6141779971,0.8345
south_dakota_coyotes,West,Summit League,0.6649009226,0.7961925844,0.695836574,0.7625003177,0.4511
south_dakota_state_jackrabbits,West,Summit League,0.7606808336,0.7671929866,0.5651780141,0.8313123723,0.5679
southern_utah_thunderbirds,West,Big Sky,0.7920853208,0.3230001454,0.284271685,0.6741854749,0.831
stanford_cardinal,West,Pac-12,0.7014340947,0.7900102956,0.9719538773,0.7907640496,0.493
tarleton_state_texans,West,Western Athletic,0.5841538194,0.204216735,0.1694981627,0.4496721298,0.6729
texas_am_corpus_christi_islanders,West,Southland,0.6735285718,0.4158906004,0.04884880668,0.6125699937,0.6575
texas_am_international_dustdevils,West,Lone Star,0.4626507578,0.591159242,0.4566511689,0.5071258903,0.3426
texas_longhorns,West,Big 12,0.8216945064,0.7951487686,0.9496565258,0.8943397749,0.6179
texas_state_bobcats,West,Sun Belt,0.6972175307,0.2803742223,0.2310628585,0.5765344461,0.7532
uc_davis_aggies,West,Big West,0.448691388,0.2399053336,0.3335213494,0.3501490197,0.5102
uc_irvine_anteaters,West,Big West,0.5699056073,0.3746807192,0.378655557,0.5081184677,0.5695
uc_riverside_highlanders,West,Big West,0.4908411629,0.2347076972,0.3126374022,0.3835579474,0.557
uc_santa_barbara_gauchos,West,Big West,0.5162849422,0.2588213436,0.03715450456,0.414990359,0.5728
ucla_bruins,West,Pac-12,0.6970195989,0.3469550749,0.3383812578,0.6038905535,0.7182
unlv_lady_rebels,West,Mountain West,0.8512847272,0.6032143327,0.5201165212,0.8399605242,0.7498
ut_arlington_mavericks,West,Sun Belt,0.8443758676,0.3410843689,0.6051447776,0.7257733669,0.8775
utah_utes,West,Pac-12,0.7180673344,0.4269302659,0.6078871726,0.6547064185,0.6994
utah_valley_wolverines,West,Western Athletic,0.671387676,0.2773002262,0.2079148192,0.5534736772,0.7271
washington_state_cougars,West,Pac-12,0.537128929,0.1674317715,0.5112591272,0.3947958611,0.6419
wyoming_cowgirls,West,Mountain West,0.5602695807,0.288083231,0.3504826736,0.4641919972,0.6041
rhode_island_rams,East,Atlantic 10,0.6529844426,0.5806004253,0.5657724277,0.6633264557,0.5504
nc_state_wolfpack,East,Atlantic Coast,0.7568367648,0.8844220078,0.8727502393,0.8765294568,0.5029
north_carolina_tar_heels,East,Atlantic Coast,0.6043570116,0.8043382568,0.5475865156,0.7147927648,0.3827
liberty_flames,East,Atlantic Sun,0.6421503858,0.7575270708,0.5615520398,0.7273244963,0.4469
bucknell_bison,East,Patriot League,0.6148956651,0.4741169662,0.4190871016,0.5871768365,0.5656
drexel_dragons,East,Colonial Athletic,0.7450813246,0.5935766792,0.5784097514,0.7463834173,0.6412
delaware_blue_hens,East,Colonial Athletic,0.7830541668,0.5018550061,0.6686895818,0.7405015254,0.7294
massachusetts_minutewomen,East,Atlantic 10,0.7737708481,0.5831418894,0.4915762437,0.7662723615,0.6764
princeton_tigers,East,Ivy,0.586684733,0.8419478228,0.7974642061,0.7154314243,0.3431
buffalo_bulls,East,Mid-American,0.8424390689,0.5502581049,0.5764210621,0.8106073763,0.7669
stony_brook_seawolves,East,America East,0.6378642595,0.5885283632,0.7690605318,0.6538483188,0.5298
fairfield_stags,East,Metro Atlantic Athletic,0.6832518947,0.5160146046,0.3324193371,0.6621616761,0.6159
towson_tigers,East,Colonial Athletic,0.5859099497,0.6003388233,0.4741942627,0.6149018906,0.4687
uconn_huskies,East,Big East,0.669239237,0.8973631826,0.7964375393,0.80798185,0.4026
campbell_fighting_camels,East,Big South,0.4536405736,0.5078426979,0.2571806667,0.4650836512,0.3759
american_university_eagles,East,Patriot League,0.5778858605,0.3091318532,0.5628216843,0.4877541219,0.6119
columbia_lions,East,Ivy,0.4934326544,0.3579125,0.3754690226,0.4366743633,0.4966
