team,region,Conference
eastern_illinois_panthers,South,Ohio Valley
green_bay_phoenix,South,Horizon
illinois_state_redbirds,South,Missouri Valley
indiana_hoosiers,South,Big 10
iowa_hawkeyes,South,Big 10
iowa_state_cyclones,South,Big 12
iu_indianapolis_jaguars,South,Horizon
kansas_city_roos,South,Summit League
kansas_jayhawks,South,Big 12
kent_state_golden_flashes,South,Mid-American
kentucky_wildcats,South,Southeastern
louisville_cardinals,South,Atlantic Coast
loyola_chicago_ramblers,South,Missouri Valley
marquette_golden_eagles,South,Big East
marshall_thundering_herd,South,Sun Belt
michigan_state_spartans,South,Big 10
michigan_wolverines,South,Big 10
missouri_state_lady_bears,South,Missouri Valley
missouri_tigers,South,Southeastern
murray_state_racers,South,Ohio Valley
northern_iowa_panthers,South,Missouri Valley
northern_kentucky_norse,South,Horizon
northwestern_wildcats,South,Big 10
notre_dame_fighting_irish,South,Atlantic Coast
ohio_bobcats,South,Mid-American
ohio_state_buckeyes,South,Big 10
purdue_boilermakers,South,Big 10
southern_illinois_salukis,South,Missouri Valley
toledo_rockets,South,Mid-American
unc_pembroke_braves,South,Peach Belt
virginia_tech_hokies,South,Atlantic Coast
western_kentucky_lady_toppers,South,Conference USA
western_michigan_broncos,South,Mid-American
youngstown_state_penguins,South,Horizon
abilene_christian_wildcats,West,Western Athletic
air_force_falcons,West,Mountain West
arizona_wildcats,West,Pac-12
baylor_bears,West,Big 12
byu_cougars,West,West Coast
california_baptist_lancers,West,Western Athletic
colorado_buffaloes,West,Pac-12
colorado_state_rams,West,Mountain West
creighton_bluejays,West,Big East
gonzaga_bulldogs,West,West Coast
grand_canyon_lopes,West,Western Athletic
hawaii_rainbow_wahine,West,Big West
idaho_state_bengals,West,Big Sky
kansas_state_wildcats,West,Big 12
long_beach_state_beach,West,Big West
montana_lady_griz,West,Big Sky
montana_state_bobcats,West,Big Sky
nebraska_cornhuskers,West,Big 10
nevada_wolf_pack,West,Mountain West
new_mexico_lobos,West,Mountain West
north_texas_mean_green,West,Conference USA
northern_arizona_lumberjacks,West,Big Sky
oklahoma_sooners,West,Big 12
oregon_ducks,West,Pac-12
portland_pilots,West,West Coast
san_diego_toreros,West,West Coast
san_francisco_dons,West,West Coast
santa_clara_broncos,West,West Coast
south_dakota_coyotes,West,Summit League
south_dakota_state_jackrabbits,West,Summit League
southern_utah_thunderbirds,West,Big Sky
stanford_cardinal,West,Pac-12
tarleton_state_texans,West,Western Athletic
texas_am_corpus_christi_islanders,West,Southland
texas_am_international_dustdevils,West,Lone Star
texas_longhorns,West,Big 12
texas_state_bobcats,West,Sun Belt
uc_davis_aggies,West,Big West
uc_irvine_anteaters,West,Big West
uc_riverside_highlanders,West,Big West
uc_santa_barbara_gauchos,West,Big West
ucla_bruins,West,Pac-12
unlv_lady_rebels,West,Mountain West
ut_arlington_mavericks,West,Sun Belt
utah_utes,West,Pac-12
utah_valley_wolverines,West,Western Athletic
washington_state_cougars,West,Pac-12
wyoming_cowgirls,West,Mountain West
rhode_island_rams,East,Atlantic 10
nc_state_wolfpack,East,Atlantic Coast
north_carolina_tar_heels,East,Atlantic Coast
liberty_flames,East,Atlantic Sun
bucknell_bison,East,Patriot League
drexel_dragons,East,Colonial Athletic
delaware_blue_hens,East,Colonial Athletic
massachusetts_minutewomen,East,Atlantic 10
princeton_tigers,East,Ivy
buffalo_bulls,East,Mid-American
stony_brook_seawolves,East,America East
fairfield_stags,East,Metro Atlantic Athletic
towson_tigers,East,Colonial Athletic
uconn_huskies,East,Big East
campbell_fighting_camels,East,Big South
american_university_eagles,East,Patriot League
columbia_lions,East,Ivy
